Iteration,Size,Iteration of Size,Time,Steps,Maze,Order of Steps
201,5,1,259,156,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 0 0 0 1 1]
 [1 1 1 1 0 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
202,5,2,522,296,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
203,5,3,2894,1788,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 0 1 0 1 1]
 [1 1 1 1 0 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
204,5,4,119,64,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1 1 0 1 1]
 [1 1 0 1 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
205,5,5,199,118,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 0 0 0 1 1]
 [1 1 0 1 1 1 0 1 0 1 1 1 1]
 [1 1 0 0 0 1 0 1 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 0 0 1 0 1 1]
 [1 1 0 1 0 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
206,5,6,289,166,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1 1 0 1 1]
 [1 1 0 1 0 0 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 1 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 0 1 1 1 1]
 [1 1 0 1 0 0 0 1 0 0 0 1 1]
 [1 1 0 1 0 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
207,5,7,3104,1876,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 1 0 0 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 1 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
208,5,8,275,172,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 1 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 0 0 0 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
209,5,9,181,116,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 1 0 1 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 0 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 1 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 0 1 0 1 1]
 [1 1 0 0 0 1 0 0 0 1 0 1 1]
 [1 1 1 1 0 1 0 1 0 1 0 1 1]
 [1 1 0 0 0 0 0 1 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
210,5,10,95,60,"[[1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 1 0 0 0 1 1]
 [1 1 1 1 1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 0 0 0 0 1 1]
 [1 1 1 1 0 1 0 1 1 1 1 1 1]
 [1 1 0 0 0 0 0 0 0 1 0 1 1]
 [1 1 0 1 1 1 0 1 1 1 0 1 1]
 [1 1 0 0 0 1 0 0 0 0 0 1 1]
 [1 1 0 1 1 1 1 1 1 1 0 1 1]
 [1 1 0 0 0 0 0 0 0 1 0 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]
 [1 1 1 1 1 1 1 1 1 1 1 1 1]]",[]
